msg,label
 agar child class mein constructor hain tho parent class ka attributes nahi kar sakta ,0
 agar ambani hai to static kardo ,0
 agar same class ,0
 agar values 1 se jyada ho to ,0
 ankit is sir s bestfrnd ,0
 or is it declaring the value ,0
 or karke uska not kar dete hai ,0
 or amount > balance ,0
 or use str function ,0
 or not ,0
 xor means ulta of or ,0
 or hoga ,0
 or hello ,0
 candidate keys are all the columns that are unique not null composite key is the combination of two or more not null unique keys ,0
 at dr neha chaudhry no these are used in bi variant analysis also you do these while analyzing the loss functions or model performances ,0
 at dr neha chaudhry tensor is similar with numpy array tensorflow or pytorch use that tensor internally ,0
 at shubham naik that is for 1 month for next 6 months you have to pay or you have paid all the fees for total 7 months then you don t have to pay anymore ,0
 because my exception was ending in printing error that paisa nahi hai tere pass or amount cannot be in minus ,0
 at amit jajoo that is not apython rule or python defined syntax you can create a name by starting lower case also but most programmers prefer capital letter for class name ,0
 sir i am beginner in ml and i had applied in various startups for ml internship or data science internship depending on the job description but i dont know meri resume shortlist nahi horhi ,0
 at campusx sir online masters degree in mca (specialization in data science)from hindustan university chennai or msc in data science from chandigarh university in online mode sir please answer ,0
 online masters degree from hindustan university(tamil nadu) or chandigarh university in mca and msc data science will be helpful or not for transition from biochemistry ( aicte ugc approved ) ,0
 online masters degree from hindustan university(tamil nadu) or chandigarh university in mca and msc data science will be helpful or not for transition from biochemistry aicte ugc approved ,0
 at abhijeet sharan yes every obj has it s own property other object can t get that or can t use that ,0
 at rushikesh kale yes you hardly use with list in ml or ds most of the times you will use numpy array ,0
 you will use in many areas eda or ploting ,0
 at ajit padhi we will learn those may be next session you can do it by just fetching those columns that you want and assign back to same data frame or there is function drop for it ,0
 sir in future data scientist vacancies will increase or decrease ,0
 sir is your nlp playlist is complete or you will upload more videos ,0
 at khushboo rani yes you can practice using any ide jupyter is used most of the time for machine learning or ds ,0
 at hassaan raheem yes you use in deep learning it is used 4d or more will use ,0
 we have to use dump and load keywords or we can use some others also ,0
 we can add more one condition like either email is incorrect or password is incorrect in that case we can use or operator ,0
 only we can use mean or any other value or one by one sample ,0
 sir i am studying msc cs ai ml i am in last semester suggest a major project for machine learning or artificial intelligence ,0
 wed programing or java is important or not for data science student ,0
 as we have mentioned ravel() is it a numpy function or a normal python function ,0
 at stay serious is it necessary to use class or we can simply do it by importing the library ,0
 sir i don t have computer or laptop can it will effect my studies ,0
 at coderchefs arange can handle multiple parameters at a time args or kwargs are used for this ,0
 sir sql ke or bhi case study daliye ,0
 at rushikesh kale yes in ml or ds you will work with lots of data for that array is more convenient to use but pandas support other dtype like list tuple dict but sklearn only array ,0
 sir sequence of apply these methods because correlation pahle use kara ga because variance threshold ka problem or disadvantage ko solve kar raha hai ,0
 sir every week live projects or kaggle competition ,0
 function mai local or global hota hai kaya ,0
 axis 0 or 1 clear karo sir ji ,0
 a ki jgh kuch or likh do ,0
 sir sql ki or case study chahiye ,0
 sir feature selection ki video hai because i am not able to find it or please please suggest me any reference link so that i am able to learn it ,0
 x y ki value 0 ho jaye or c ,0
 at aniket some more topics are remaining sir either provide recorded videos or will do live session ,0
 sir case studies or project same hai ,0
 sir i have completed dsmp 1 0 now i should focus on or playlist of 100 days of deep learning or dsmp 2 0 or both ,0
 try implementing a point based reward system like for participating in live sessions regularly submitting tasks promptly give 1 to 1 mentor sessions or mock interviews as reward ,0
 at fit shake at 2d or higher dimension arrays are called matrix ,0
 at manindra kumar stride or skip step ,0
 iske upper ek or group by batter kre and count kre ,0
 knowledge of any cloud is necessary or not ,0
 at asad for security reason or something like that python gives us much more flexibility to do ,0
 or xml as per use of operation you use these data types list tuple or other wjile programing for storages purpose you save these as either text file databse json etc ,0
 only one record in table we can series or not ,0
 at pandit try encoding latin 1 or encoding utf 8 try either of these two things ,0
 sir data read ni ho rha h or aap aage bahje ja rhe h ,0
 at stay serious python or r for data science ,0
 yes you can copy or you can make the inplace parameter false ,0
 sir please try take atleast one or two pyspark for data modeling ,0
 sir the underlying cause maybe same or different right ,0
 sir nlp has been completd by you in you tube or more has been added ,0
 woh lecture sab dkhsakta hai or only with jiske paas membership ho wai ,0
 512 is a family of 4 or rather 4 people on the same ticket ,0
 at hitesh pandey dtype of python function is <class builtin function or method > ,0
 list is data type or data structue ,0
 c plus plus or python for competitive programming ,0
 python is single thread or multi thread ,0
 at deepika bhargava yes it is scripting language or you can say it is a interpreted language both are same ,0
 we will do proggraming in google collab or jupyter notebook in future ,0
 sir aaj tk aapke do session tough lage hai or ye unmain se ek hai ,0
 this concept is not in c plus plus or any language i belive ,0
 task resolve for revision is good idea or not ,0
 at neha unique for dataframe or series but nunique for groupby ,0
 east or west solmon bhai is best best in hunting driving ,0
 sir ho u 6 mins and ho should be u 6 hoga i suppose or may be ho u< 6 and ha u > 6 hoga ,0
 sir in first example ho u 50 mins and ha should be u 50 hoga i suppose or may be ho u< 50 and ha u > 50 hoga ,0
 sir significance region is decided by domain expert or by us ,0
